"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","Int","Sk","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"33",4,113,"LAC","Rayshawn Jenkins","S",23,2020,8,51,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,"Miami (FL)",71,3,1.5,1.3921568627451,0.0294117647058824,0.0588235294117647,135,66,8.5,1.5,9,62,0,15,1,0,2.8125,1.375,4.1875,0.177083333333333,0.03125,0.3125,0,0.1875,2.66666666666667
"34",4,123,"WAS","Montae Nicholson","S",21,2019,11,35,2017,4.92,74,33.375,212,9.5,4.42,NA,35,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,"Michigan St.",92,3,NA,2.62857142857143,NA,0.0857142857142857,109,91,4.5,0,4,70,0,4,3,1,2.94594594594595,2.45945945945946,5.40540540540541,0.121621621621622,0,0.108108108108108,0.027027027027027,0.108108108108108,3.66666666666667
"35",5,151,"LAC","Desmond King","S",22,2020,16,52,2017,5.8,70,31.125,201,9.625,NA,14,34,117,6.67,NA,NA,NA,NA,NA,NA,NA,NA,53,"Iowa",169,4,6.5,3.25,0.125,0.0769230769230769,174,89,9.5,0,14,231,3,33,3,1,3.28301886792453,1.67924528301887,4.9622641509434,0.179245283018868,0,0.622641509433962,0.0188679245283019,0.264150943396226,5.33333333333333
"36",5,169,"HOU","Treston Decoud","S",24,2018,1,11,2017,5.1,74,33,206,9.25,4.62,11,31,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"Oregon St.",6,NA,NA,0.545454545454545,NA,NA,77,31,5.5,1,2,13,0,15,0,0,3.5,1.40909090909091,4.90909090909091,0.25,0.0454545454545455,0.681818181818182,0,0.0909090909090909,0.333333333333333
"37",5,184,"PHI","Nathan Gerry","S",22,2020,12,44,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,"Nebraska",90,3,2.5,2.04545454545455,0.0568181818181818,0.0681818181818182,163,110,19,2,13,200,0,19,1,3,3.39583333333333,2.29166666666667,5.6875,0.395833333333333,0.0416666666666667,0.395833333333333,0.0625,0.270833333333333,4
"38",6,187,"SEA","Michael Tyson","S",24,2018,1,10,2017,5.05,73,31.75,204,9.25,4.56,17,33,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cincinnati",3,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333
"39",6,191,"DAL","Xavier Woods","S",22,2020,13,50,2017,5.19,71,30.375,197,9.375,4.54,19,33.5,122,6.72,NA,NA,NA,NA,NA,NA,NA,NA,51,"Louisiana Tech",145,5,NA,2.9,NA,0.1,181,91,20.5,4,14,344,2,18,0,6,3.54901960784314,1.7843137254902,5.33333333333333,0.401960784313726,0.0784313725490196,0.352941176470588,0.117647058823529,0.274509803921569,4.33333333333333
"40",6,208,"ARI","Rudy Ford","S",22,2020,3,36,2017,5.13,71,30,205,8.875,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auburn",20,NA,NA,0.555555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"41",6,218,"KAN","Leon McQuay","S",22,2017,0,1,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USC",3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"42",7,221,"OAK","Shalom Luani","S",23,2019,2,31,2017,4.99,71,32,202,9.75,4.55,12,31,116,6.87,NA,NA,NA,NA,NA,NA,NA,NA,25,"Washington St.",21,NA,NA,0.67741935483871,NA,NA,114,43,11.5,2,8,199,1,11,1,3,4.56,1.72,6.28,0.46,0.08,0.44,0.12,0.32,0.666666666666667
"43",7,230,"WAS","Josh Harvey-Clemons","S",23,2019,3,35,2017,5.64,76,35.375,217,10.375,NA,12,31.5,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,"Louisville",29,NA,1.5,0.828571428571429,0.0428571428571429,NA,126,99,11.5,2,4,25,0,11,3,3,3.40540540540541,2.67567567567568,6.08108108108108,0.310810810810811,0.0540540540540541,0.297297297297297,0.0810810810810811,0.108108108108108,1
"44",1,11,"MIA","Minkah Fitzpatrick","S",21,2020,23,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,"Alabama",109,7,NA,3.02777777777778,NA,0.194444444444444,110,61,16.5,5,9,274,4,24,0,2,2.61904761904762,1.45238095238095,4.07142857142857,0.392857142857143,0.119047619047619,0.571428571428571,0.0476190476190476,0.214285714285714,11.5
"45",1,17,"LAC","Derwin James","S",22,2019,11,21,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Florida St.",98,3,3.5,4.66666666666667,0.166666666666667,0.142857142857143,110,76,15,5.5,3,41,1,15,2,2,4.23076923076923,2.92307692307692,7.15384615384615,0.576923076923077,0.211538461538462,0.576923076923077,0.0769230769230769,0.115384615384615,5.5
"46",1,28,"PIT","Terrell Edmunds","S",21,2020,12,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"Virginia Tech",144,1,2,4,0.0555555555555556,0.0277777777777778,101,95,8.5,1.5,6,98,0,14,2,1,2.88571428571429,2.71428571428571,5.6,0.242857142857143,0.0428571428571429,0.4,0.0285714285714286,0.171428571428571,6
"47",2,54,"CIN","Jessie Bates","S",21,2020,11,37,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,"Wake Forest",166,6,NA,4.48648648648649,NA,0.162162162162162,119,58,9.5,0,6,195,2,10,0,2,4.95833333333333,2.41666666666667,7.375,0.395833333333333,0,0.416666666666667,0.0833333333333333,0.25,5.5
